Corresponding Matches From The Mapping File: 
P32234 128up                      128UP_DROME  P32234      FBgn0010339
Q9VVW1 Acp76A                     A76A_DROME   Q9VVW1      FBgn0015586
P16548 Acp95EF                    A95EF_DROME  P16548      FBgn0002863
O46201 Acp98AB                    A98AB_DROME  O46201      FBgn0263597
P10987 Act5C                      ACT1_DROME   P10987      FBgn0000042
P02572 Act42A                     ACT2_DROME   P02572      FBgn0000043
P53501 Act57B                     ACT3_DROME   P53501      FBgn0000044
P02574 Act79B                     ACT4_DROME   P02574      FBgn0000045
P10981 Act87E                     ACT5_DROME   P10981      FBgn0000046
P83967 Act88F                     ACT6_DROME   P83967      FBgn0000047
O61643 Actbeta                    INHB_DROME   O61643      FBgn0024913
P18091 Actn                       ACTN_DROME   P18091      FBgn0000667
P56544 Acyp                       ACYP1_DROME  P56544      FBgn0025115
Q9VF36 Acyp2                      ACYP2_DROME  Q9VF36      FBgn0038363
Q9VHH7 Ada                        ADAL_DROME   Q9VHH7      FBgn0037661
Q8I8V0 Ada2b                      TAD2B_DROME  Q8I8V0      FBgn0037555
Q7K550 Adam                       EIF3J_DROME  Q7K550      FBgn0027619
Q9NII1 Adar                       ADAR_DROME   Q9NII1      FBgn0026086
Q9V3R6 Adat1                      ADAT1_DROME  Q9V3R6      FBgn0028658
P35421 ade2                       PUR4_DROME   P35421      FBgn0000052
P00967 ade3                       PUR2_DROME   P00967      FBgn0000053
Q9I7S8 ade5                       PUR6_DROME   Q9I7S8      FBgn0020513
P05552 Adf1                       ADF1_DROME   P05552      FBgn0284249
P00334 Adh                        ADH_DROME    P00334      FBgn0000055
P91615 Adhr                       ADHR_DROME   P91615      FBgn0000056
Q6AWN0 Adi1                       MTND_DROME   Q6AWN0      FBgn0052068
Q9VCY8 AdipoR                     ADRL_DROME   Q9VCY8      FBgn0038984
Q9U915 Adk2                       KAD2_DROME   Q9U915      FBgn0283494
Q9V778 ADPS                       ADAS_DROME   Q9V778      FBgn0033983
Q9Y0Y2 AdSS                       PURA_DROME   Q9Y0Y2      FBgn0027493
P39413 Aef1                       AEF1_DROME   P39413      FBgn0005694
Q9UAS6 aft                        CMTR2_DROME  Q9UAS6      FBgn0026309
Q9VZF4 ago                        FBXW7_DROME  Q9VZF4      FBgn0041171
Q9VUQ5 AGO2                       AGO2_DROME   Q9VUQ5      FBgn0087035
Q7PLK0 AGO3                       AGO3_DROME   Q7PLK0      FBgn0250816
Q27580 Ahcy13                     SAHH_DROME   Q27580      FBgn0014455
P50245 Ahcy89E                    SAHH2_DROME  P50245      FBgn0015011
Q9VQ79 AIF                        AIFM1_DROME  Q9VQ79      FBgn0031392
Q9VUR3 AIMP2                      AIMP2_DROME  Q9VUR3      FBgn0036515
Q7JYV7 Ak6                        KAD6_DROME   Q7JYV7      FBgn0033754
P61855 Akh                        AKH_DROME    P61855      FBgn0004552
Q9VS59 akirin                     AKIRN_DROME  Q9VS59      FBgn0082598
Q8INB9 Akt1                       AKT1_DROME   Q8INB9      FBgn0010379
Q06453 al                         AL_DROME     Q06453      FBgn0000061
Q9VRJ1 AlaRS-m                    SYAM_DROME   Q9VRJ1      FBgn0028962
P07764 Ald                        ALF_DROME    P07764      FBgn0000064
Q8T8L8 Alg10                      ALG10_DROME  Q8T8L8      FBgn0052076
Q94899 alien                      CSN2_DROME   Q94899      FBgn0013746
P35220 alpha-Cat                  CTNA_DROME   P35220      FBgn0010215
P53624 alpha-Man-Ia               MA1A1_DROME  P53624      FBgn0259170
Q24451 alpha-Man-II               MAN2_DROME   Q24451      FBgn0011740
Q9W3J5 alpha-PheRS                SYFA_DROME   Q9W3J5      FBgn0030007
Q23983 alphaSnap                  SNAP_DROME   Q23983      FBgn0250791
P13395 alpha-Spec                 SPTCA_DROME  P13395      FBgn0250789
P04814 alphaTry                   TRYA_DROME   P04814      FBgn0003863
